identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas
2431315,Bolitoglossa capitana,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,capitana,Válido,CR,"[(4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.89432, -74.44388), (4.89432, -74.44388)]"
9338198,Bolitoglossa guaneae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,guaneae,Válido,VU,"[(5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (4.54956, -74.308628), (4.596338, -74.309745), (4.476586, -74.360818), (6.16415, -73.18668), (6.16415, -73.18668), (6.16415, -73.18668), (6.016304, -73.162333), (6.117629, -73.148236)]"
2431289,Bolitoglossa hiemalis,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,hiemalis,Válido,VU,"[(4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.07872, -76.5113), (4.07872, -76.5113), (4.07872, -76.5113), (4.07872, -76.5113)]"
2431296,Bolitoglossa hypacra,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,hypacra,Válido,EN,"[(6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.50424, -76.03947), (6.50511, -76.03785), (6.50434, -76.03925), (6.50439, -76.03957), (6.50438, -76.0396), (6.50429, -76.03951), (6.50435, -76.03951), (6.50439, -76.03938), (6.50748, -76.03548), (6.50439, -76.03957), (6.50441, -76.03926), (6.50439, -76.03944), (6.50427, -76.03957), (6.50441, -76.03926), (6.50742, -76.03555), (6.50433, -76.03949), (6.50747, -76.03564), (6.50721, -76.03558), (6.50422, -76.03942), (6.50442, -76.03968), (6.50747, -76.03564), (6.50439, -76.03957), (6.50441, -76.03926), (6.50432, -76.03953), (6.50432, -76.03941), (6.50442, -76.03968), (6.50762, -76.03527), (6.5073, -76.03551), (6.50435, -76.03847), (6.50742, -76.03565), (6.50439, -76.03957), (6.50456, -76.0386), (6.50721, -76.03558), (6.5072, -76.03559), (6.5043, -76.03954), (6.50736, -76.03565), (6.52992, -76.03429), (6.50422, -76.03942), (6.524458, -76.03385), (6.50745, -76.03535), (6.50715, -76.03566), (6.52337, -76.03361), (6.50429, -76.03951), (6.52459, -76.03389), (6.53005, -76.03396), (6.52514, -76.03397), (6.52154, -76.03416), (6.50725, -76.03568), (6.53014, -76.03346), (6.5275, -76.03427), (6.52819, -76.03387), (6.52289, -76.03359), (6.52472, -76.03387), (6.52506, -76.03393), (6.53001, -76.03342), (6.52583, -76.03433), (6.51217, -76.03586), (6.52591, -76.03436), (6.5205, -76.03445), (6.504167, -76.039444), (6.504167, -76.039444), (6.504444, -76.038611), (6.507222, -76.035556), (6.507222, -76.035556), (6.524444, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.44493, -76.08432), (6.44964, -76.08627), (6.44922, -76.08603), (6.44962, -76.08607), (6.4545, -76.08826), (6.44124, -76.08215), (6.45474, -76.08881), (6.44124, -76.08215), (6.45453, -76.08852), (6.4545, -76.08826), (6.44962, -76.08607), (6.44964, -76.08627), (6.45409, -76.08875), (6.45419, -76.08872), (6.44919, -76.08637), (6.44556, -76.08498), (6.45454, -76.08852), (6.45409, -76.08875), (6.44456, -76.08498), (6.45434, -76.08851), (6.45409, -76.08875), (6.44962, -76.08607), (6.45442, -76.08817), (6.44493, -76.08432), (6.49666, -76.05939), (6.44023, -76.0816), (6.45434, -76.08808), (6.44904, -76.08611), (6.44961, -76.08627), (6.44149, -76.08223), (6.44452, -76.084), (6.45435, -76.0881), (6.44451, -76.08395), (6.44456, -76.08403), (6.44916, -76.08624), (6.44143, -76.0822), (6.45434, -76.08808), (6.45424, -76.08812), (6.44915, -76.08609), (6.45431, -76.08802), (6.45448, -76.0881), (6.44965, -76.0862), (6.44911, -76.08593), (6.45444, -76.0881), (6.4545, -76.08821), (6.4491, -76.08617), (6.00729, -76.09964), (6.00563, -76.09863), (6.00959, -76.10052), (6.252222, -76.22725), (5.553611, -75.994667), (6.258785, -76.042626), (6.4819, -76.10831), (6.48226, -76.10799), (6.48239, -76.10796), (6.48239, -76.10796), (6.48244, -76.10827), (6.48211, -76.1082), (6.48228, -76.10798), (6.48228, -76.10798), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48196, -76.1083), (6.48244, -76.10822), (6.48212, -76.10828), (6.4536, -76.09078), (6.460421, -76.119801), (6.460421, -76.119801), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.40548, -75.98244), (7.0, -75.5), (7.0, -75.5), (6.466667, -76.066667), (6.466667, -76.066667), (6.466667, -76.066667), (6.466667, -76.066667), (6.45172, -76.12422), (6.45172, -76.12422), (6.45172, -76.12422)]"
9577531,Bolitoglossa leandrae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,leandrae,Válido,CR,"[(4.86, -73.26), (4.86, -73.26), (4.15, -73.65)]"
