,NOMBRE CIENTIFICO,COORDENADAS
408,Lecythis tuyrana,"[(9.489453, -75.438015), (10.435501, -75.403353), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (10.438952, -75.392314), (8.792366, -75.862609), (7.36437, -73.845119), (7.3955, -73.833056), (7.381931, -73.825194), (7.313194, -73.858167), (6.880859, -73.684706), (6.880859, -73.684706), (6.880859, -73.684706), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.046537, -73.72813), (7.204575, -73.893196), (7.153833, -73.581944), (6.261487, -75.576492), (6.77564, -73.702431), (6.77564, -73.702431), (6.661392, -73.659064), (6.761026, -73.677739), (7.014485, -73.572246), (6.766985, -73.660231), (6.976899, -73.548885), (6.976899, -73.548885), (6.976899, -73.548885), (7.122218, -73.807128), (6.943874, -73.570612), (6.943874, -73.570612), (6.687692, -73.654149), (6.654121, -73.657623), (6.951784, -73.577299), (7.016785, -73.575167), (6.729273, -73.629728), (6.94744, -73.574001), (6.94744, -73.574001), (6.94744, -73.574001), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (7.049185, -73.537436), (6.711956, -73.637441), (6.711956, -73.637441), (6.711956, -73.637441), (6.711956, -73.637441), (6.711956, -73.637441), (6.658193, -73.661463), (6.658193, -73.661463), (7.024528, -73.5618), (6.709438, -73.633436), (6.7263, -73.631612), (6.7263, -73.631612), (6.7263, -73.631612), (6.7263, -73.631612), (6.720901, -73.630604), (6.902273, -73.598099), (6.811613, -73.602712), (6.811613, -73.602712), (6.714358, -73.722575), (6.726383, -73.721626), (6.726383, -73.721626), (7.00279, -73.692985), (6.999837, -73.685965), (6.711532, -73.729388), (6.711532, -73.729388), (6.703889, -73.667674), (6.703889, -73.667674), (6.814345, -73.744973), (6.758668, -73.782351), (6.925217, -73.620687), (7.008769, -73.554695), (7.008769, -73.554695), (6.815055, -73.79567), (6.815055, -73.79567), (6.733964, -73.725817), (6.733964, -73.725817), (6.733964, -73.725817), (6.793722, -73.807225), (6.793722, -73.807225), (6.779933, -73.763993), (6.779933, -73.763993), (6.762999, -73.767505), (6.997159, -73.663722), (6.997159, -73.663722), (6.741597, -73.591493), (6.831439, -73.778887), (6.831439, -73.778887), (6.831439, -73.778887), (6.678833, -73.713285), (6.822513, -73.598649), (6.714024, -73.688124), (6.765927, -73.712171), (8.067874, -75.501783), (9.585889, -75.340861), (5.950971, -74.859058), (7.133944, -73.533722), (5.911277, -74.850529), (5.911277, -74.850529), (6.43115, -74.086167), (6.969465, -73.70903), (6.941147, -73.776593), (6.941147, -73.776593), (6.941147, -73.776593), (6.941147, -73.776593), (6.941147, -73.776593), (6.941147, -73.776593), (7.041293, -73.781036), (9.524222, -73.787583), (7.14025, -73.48458), (9.7055, -75.23975), (76.544081, -8.159424), (76.544081, -8.159424), (8.625444, -77.373944), (9.929111, -75.168111), (10.015472, -75.124972), (10.015472, -75.124972), (5.76401, -74.54586), (5.76401, -74.54586), (5.76401, -74.54586), (5.76401, -74.54586), (5.76401, -74.54586), (5.76401, -74.54586), (5.76401, -74.54586), (8.47803, -77.98819), (9.533889, -75.334778), (9.533889, -75.334778), (9.533889, -75.334778), (7.422236, -73.778425), (6.230028, -76.741694), (7.573308, -76.723469), (5.673, -74.773428), (6.023331, -74.803455), (6.839397, -74.007628), (9.5775, -75.461111), (9.5775, -75.461111), (6.016472, -76.779083), (-1.4628, -78.1869), (-1.4628, -78.1869), (0.35, -79.733333), (0.35, -79.73), (0.36, -79.71111), (0.36, -79.71111), (0.75, -78.78333), (0.75, -78.78333), (7.458176, -76.84995), (8.68, -76.45), (8.683333, -76.45), (8.68, -76.45), (8.683333, -76.45), (8.683333, -76.45), (8.68333, -76.45), (7.574371, -77.15917), (7.9922, -76.6372), (7.9922, -76.6372), (8.02222, -76.58081), (8.02222, -76.58081), (7.666389, -76.68083), (7.666389, -76.68083), (7.653333, -76.960278), (7.653333, -76.960278), (8.08333, -76.73333), (7.63, -76.77), (7.63417, -76.77361), (7.63417, -76.77361), (7.350841, -76.546828), (6.52065, -74.13221), (6.78163, -74.09883), (6.51855, -74.107086), (6.520195, -74.105484), (8.96388, -79.54722), (8.95, -79.566667), (8.96388, -79.54722), (8.13, -77.75), (8.129445, -77.7225), (8.95, -79.56666), (8.95, -79.56666), (8.95, -79.56666), (8.18, -77.68), (9.13, -77.93), (8.25, -77.733333), (9.13333, -77.94166), (8.233333, -77.55), (8.083333, -77.683333), (8.42, -77.77), (8.383333, -77.783333), (8.383333, -77.783333), (8.383333, -77.783333), (8.95, -79.56666), (9.4, -75.82), (9.4, -75.82), (8.13, -77.68), (8.111667, -77.675), (8.95444, -79.55444), (8.139272, -77.672806), (8.139272, -77.672806), (8.4654, -77.69817), (8.737806, -76.223222), (9.097361, -76.205472), (3.8811, -72.8667), (9.207972, -74.316361), (9.207972, -74.316361)]"
409,Freziera sericea,"[(4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (4.551948, -75.516852), (1.575083, -77.482639), (3.4622, -76.5943), (3.43868, -76.65178), (3.43868, -76.65178), (3.4622, -76.5943), (3.4622, -76.5943), (2.279365, -78.606282)]"
410,Ardisia killipii,"[(6.83564, -73.2791), (6.83564, -73.2791)]"
411,Clavija cauliflora,"[(4.316255, -76.285971), (7.07845, -74.174683), (3.582206, -76.583038), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.855008, -75.883914), (4.613333, -75.732317), (4.57715, -75.72135), (5.168611, -75.452861), (5.0, -76.0), (5.533333, -75.683333), (5.533333, -75.683333), (4.035488, -76.164395), (4.732022, -75.585181), (4.732022, -75.585181)]"
412,Clavija grandis,"[(6.585287, -73.575522), (6.585287, -73.575522), (6.585287, -73.575522), (6.05, -74.8), (6.05, -74.8), (5.5, -72.5), (5.27306, -73.29417), (4.1, -72.908889), (51.083, 10.4262)]"
413,Clavija killipii,"[(7.060833, -74.0427)]"
414,Clavija plumbea,"[(3.9077, -75.7022), (3.9077, -75.7022), (3.9077, -75.702202), (3.9077, -75.702202)]"
415,Clavija sanctae-martae,"[(11.185136, -74.160774), (11.142601, -74.117329), (10.433985, -75.400267), (10.434184, -75.40025), (10.434184, -75.400341), (10.434157, -75.400368), (10.434094, -75.40035), (10.434067, -75.400295), (10.433948, -75.400495), (10.435594, -75.40252), (10.369956, -75.433063), (10.363239, -75.446243), (10.434049, -75.400213), (10.434066, -75.400404), (11.0, -74.071083), (11.0, -74.071083), (11.003083, -74.078806), (11.190444, -73.408083), (11.2165, -73.440639), (11.2165, -73.440639), (11.2165, -73.440639), (11.2165, -73.440639), (10.363239, -75.446243), (10.434049, -75.400213), (10.434066, -75.400404), (10.433985, -75.400267), (10.369956, -75.433063), (10.434184, -75.40025), (10.434184, -75.400341), (10.434157, -75.400368), (10.434094, -75.40035), (10.434067, -75.400295), (10.433948, -75.400495), (10.506944, -75.437861), (8.220747, -73.238381), (10.11389, -74.24278), (10.11389, -74.24278), (11.3156, -74.0803), (11.33, -74.09), (3.901155, -73.073369)]"
416,Cybianthus cogolloi,"[(5.87355, -74.94192), (5.86763, -74.94428), (5.86763, -74.94428), (5.86763, -74.94428), (5.86763, -74.94428), (5.86763, -74.94428), (5.86747, -74.94453), (5.86702, -74.94481), (5.87581, -74.95047), (5.8767, -74.95063), (5.87682, -74.95063), (5.87253, -74.94994), (5.869562, -74.943703), (5.869584, -74.943811), (5.869591, -74.943804), (5.872066, -74.947232), (5.872082, -74.947215), (5.872081, -74.947216), (5.867967, -74.944173), (5.809028, -74.98775), (5.809028, -74.98775), (5.809028, -74.98775), (5.861, -74.956278), (5.861028, -74.956306), (5.861167, -74.956194), (5.861028, -74.956306), (5.860972, -74.956306), (5.959306, -74.956278), (5.860972, -74.956278), (5.861056, -74.956333), (5.860972, -74.956278), (5.860972, -74.956278), (5.860722, -74.956194), (5.860667, -74.956111), (6.391944, -75.038972), (6.917619, -73.102819), (6.971975, -73.042792), (6.183333, -74.9), (6.115318, -75.13487), (6.115318, -75.13487), (5.88333, -74.9333), (5.883333, -74.933334), (5.88333, -74.93333), (6.6666, -74.98333), (6.00597, -75.0235), (6.00597, -75.0235), (6.13333, -75.16666), (6.13333, -75.16666), (6.041222, -75.146167), (6.323056, -75.250556), (6.388222, -75.33725)]"
417,Geissanthus callejasii,"[(5.65144, -75.76345), (4.1764, -75.83), (5.5, -75.83), (5.54228, -75.80313), (5.5, -75.83333), (-16.083333, -68.05), (-16.083333, -68.05), (-16.083333, -68.05), (-16.083333, -68.05), (-16.083333, -68.05)]"
418,Geissanthus cestrifolius,"[(-0.244167, -78.804444), (2.730375, -76.51447), (7.017757, -75.966253), (-0.216667, -78.8), (-0.2314, -78.8), (-0.231389, -78.8), (-0.21666, -78.8), (-0.23138, -78.80277), (-0.23138, -78.80277), (-0.23138, -78.80277), (-0.2314, -78.8), (-0.216667, -78.8), (-0.216667, -78.8), (-0.231389, -78.8), (-0.216667, -78.802778), (-0.2314, -78.8), (-0.23133, -78.8), (-0.23133, -78.80266), (-0.231389, -78.8), (-0.231389, -78.802778)]"
419,Geissanthus francoae,"[(5.73333, -76.0), (4.5833, -77.0666), (4.701868, -75.537268), (4.701868, -75.537268), (4.701868, -75.537268), (5.72082, -75.7463), (5.692294, -75.721203), (5.692294, -75.721203), (5.692294, -75.721203), (5.692294, -75.721203), (5.692294, -75.721203), (5.692294, -75.721203), (4.616667, -76.183333)]"
420,Geissanthus goudotianus,"[(3.944449, -75.944861), (3.961715, -75.951891), (3.944449, -75.944861), (4.14416, -76.15222), (3.90111, -73.07333), (3.90111, -73.07333)]"
421,Geissanthus kalbreyeri,"[(3.582206, -76.583038), (3.582206, -76.583038), (3.582112, -76.583492), (3.583005, -76.582414), (3.582541, -76.582511), (6.780279, -75.316788), (6.788982, -75.318067), (6.780279, -75.316788), (6.780279, -75.316788), (6.780279, -75.316788), (6.780279, -75.316788), (6.780279, -75.316788), (6.781152, -75.314836), (6.780183, -75.315476), (6.780279, -75.316788), (6.776884, -75.311742), (6.776884, -75.311742), (6.776884, -75.311742), (6.776884, -75.311742), (6.780912, -75.316762), (1.19965, -76.99493), (6.2473, -75.49714), (4.940235, -75.4351), (6.26666, -75.56666), (6.3, -75.6833), (6.3, -75.683334), (6.3, -75.68), (6.316667, -75.683333), (6.3, -75.68333), (3.944449, -75.944861), (3.435935, -76.641027), (4.61666, -75.53333)]"
422,Geissanthus sessiliflorus,[]
423,Hymenandra callejasii,"[(5.537723, -75.086764), (7.33, -76.5), (7.33, -76.5), (7.333333, -76.5), (7.333333, -76.5), (7.333333, -76.5), (7.333333, -76.5), (7.233333, -76.45), (7.233333, -76.45), (7.233333, -76.45)]"
424,Myrsine paramensis,"[(6.53333, -75.88333), (6.53333, -75.88333)]"
425,Myrsine perreticulata,[]
426,Chrysophyllum euryphyllum,"[(9.591538, -73.643209), (9.593289, -73.640601), (9.59575, -73.642119), (9.598866, -73.64667), (9.590522, -73.647418), (9.590242, -73.647656), (9.5896, -73.647666), (9.589157, -73.647785), (9.592683, -73.647261), (8.293233, -75.642409), (8.302077, -75.639464)]"
427,Styrax lasiocalyx,"[(5.0, -74.1667)]"
428,Styrax schultzei,"[(11.10125, -74.03955), (11.101181, -74.038989), (11.100979, -74.038875)]"
429,Symplocos lehmannii,"[(4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (4.139761, -75.73578), (5.972611, -75.4185), (5.507833, -72.695583), (5.508389, -72.695972), (5.742917, -72.695111), (5.507833, -72.695583), (5.507833, -72.695583), (5.507833, -72.695583), (5.507833, -72.695583), (5.508389, -72.695972), (5.507833, -72.695583), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (5.508389, -72.695972), (4.616667, -75.533333), (6.27, -75.68), (6.266667, -75.683333), (6.316667, -75.683333), (6.266667, -75.683333), (6.266667, -75.683333)]"
430,Symplocos phaeoneura,"[(6.78365, -75.317321), (6.61, -75.65), (7.342581, -72.478828), (7.05365, -75.125217), (6.213333, -75.492278), (7.112222, -73.03), (6.400278, -75.31325), (6.171944, -75.585833), (6.171944, -75.585833), (6.645388, -75.693295), (6.628922, -75.688879), (6.583333, -75.533333), (6.583333, -75.533333), (5.85, -75.3), (5.85, -75.3), (5.876673, -75.305084), (5.85, -75.3), (5.816667, -75.283333), (6.25, -75.166667), (6.27, -75.12), (6.266667, -75.116667), (6.301941, -75.141111), (6.266667, -75.116667), (6.53055, -75.74777), (5.975, -75.361944)]"
431,Symplocos pichindensis,"[(3.8811, -72.8667)]"
432,Symplocos quindiuensis,"[(3.929, -75.7316), (4.680728, -75.634558), (4.680728, -75.634558), (7.520139, -72.958056), (3.932417, -76.179194), (4.728361, -76.103861), (4.739667, -76.224444), (4.739667, -76.224444), (4.725694, -76.106806), (4.725694, -76.106806), (4.725694, -76.106806), (4.725889, -76.106889), (4.725889, -76.106889), (4.745, -76.139056), (4.745, -76.138778), (4.891556, -76.023278), (4.891556, -76.023278), (4.900861, -76.022722), (4.900861, -76.022722), (4.900861, -76.022722), (4.900861, -76.022722), (4.800083, -76.093917), (4.779056, -76.116222), (4.779056, -76.116222), (4.779056, -76.116222), (4.779056, -76.116222), (4.905667, -76.027417), (4.905667, -76.027417), (3.560472, -76.162889), (5.0, -76.0), (4.72901, -75.588988), (4.728981, -76.248267), (4.728981, -76.248267), (4.694444, -75.633611), (4.693889, -75.633889), (4.693889, -75.633889), (4.693889, -75.633889), (4.693889, -75.633889), (4.704167, -75.632222), (4.688611, -75.641667), (4.695556, -75.601667), (4.681111, -75.620833), (4.682778, -75.645833), (4.682778, -75.645833), (4.687778, -75.642778), (4.695, -75.622778), (4.695833, -75.650556), (4.693056, -75.649444), (4.731667, -75.578889), (4.719722, -75.563889), (4.683333, -75.666667), (4.683333, -75.666667), (4.901757, -75.729583), (4.583333, -73.666667), (4.583333, -73.666667), (3.8811, -72.8667), (4.47972, -75.62972), (4.47972, -75.62972), (3.8811, -72.8667), (3.8811, -72.8667), (3.8811, -72.8667), (4.732022, -75.585181), (4.732022, -75.585181)]"
433,Symplocos rhomboidea,"[(6.511194, -76.037), (6.520389, -76.035444), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.511194, -76.037), (6.484972, -76.114694), (6.484972, -76.114694), (6.487039, -76.110389), (6.009528, -76.100556), (6.567667, -76.131472), (6.010611, -76.097889), (6.567639, -76.131083), (6.567667, -76.131194), (6.009583, -76.100583), (6.009583, -76.100583), (6.009583, -76.100583), (6.01025, -76.098111), (6.010611, -76.097889), (6.01025, -76.098111), (6.009583, -76.100583), (6.567667, -76.131472), (6.569075, -76.131153), (6.009583, -76.100583), (6.009528, -76.100556), (6.009528, -76.100556), (6.567667, -76.131472), (6.567667, -76.131472), (6.010611, -76.097889), (6.569253, -76.131753), (6.502778, -76.059722), (6.4625, -76.087222), (6.463077, -76.10564), (6.46, -76.08), (6.47, -76.08), (6.47, -76.08), (6.466667, -76.083333), (6.45, -76.076666), (6.45, -76.076667), (6.45, -76.076667), (6.45, -76.076667), (6.45, -76.076667), (6.45, -76.066667), (6.45, -76.066667), (6.45, -76.7667)]"
434,Symplocos trianae,"[(3.8811, -72.8667), (4.885027, -72.681542), (3.55278, -73.00583)]"
435,Symplocos venulosa,"[(6.047444, -73.787583), (6.768444, -72.6375), (6.773222, -72.630333), (6.770944, -72.628306), (6.770944, -72.628306), (6.770944, -72.628306), (6.773528, -72.630167), (6.773528, -72.630167), (6.773222, -72.630333), (6.773222, -72.630333), (6.772, -72.626528), (6.772, -72.626528), (6.772, -72.626528), (6.772, -72.626528), (6.771778, -72.632417), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.771278, -72.632778), (6.767611, -72.634722), (6.767611, -72.634722), (6.767611, -72.634722), (6.769611, -72.636806), (6.768444, -72.6375), (6.768444, -72.6375), (6.768444, -72.6375), (6.766861, -72.634389), (6.768444, -72.6375), (6.768444, -72.634722), (6.768444, -72.634722), (6.766861, -72.634389), (6.985833, -72.835694), (6.985833, -72.835694), (6.985833, -72.835694), (6.984861, -72.837028), (6.991389, -72.834667), (6.991389, -72.834667), (6.991389, -72.834667), (6.988083, -72.834583), (6.988083, -72.834583), (6.988083, -72.834583), (6.988083, -72.834583), (6.988083, -72.834583), (6.988083, -72.834583), (6.990694, -72.834667), (6.990694, -72.834667), (6.990694, -72.834667), (6.986778, -72.83575), (6.986083, -72.835694), (6.986083, -72.835694), (6.985889, -72.836139), (6.986778, -72.83575), (7.152278, -72.631028), (7.152222, -72.627167), (7.152222, -72.627167), (7.152222, -72.627167), (7.152222, -72.627167), (7.152278, -72.631028), (7.152222, -72.627167), (7.152222, -72.627167), (7.152278, -72.633861), (7.152278, -72.633861), (7.149889, -72.638639), (7.214361, -72.597028), (7.214361, -72.597028), (7.218778, -72.596806), (7.218778, -72.596806), (7.219583, -72.596861), (7.219583, -72.596861), (7.219583, -72.596861), (7.221833, -72.595306), (7.221833, -72.595306), (7.221833, -72.595306), (7.214361, -72.597028), (7.214361, -72.597028), (7.102889, -72.705194), (7.101833, -72.705972), (7.105083, -72.71075), (7.105083, -72.71075), (7.105083, -72.71075), (7.105194, -72.709806), (7.105194, -72.709806), (7.105194, -72.709806), (7.105194, -72.709806), (7.105194, -72.709806), (7.105194, -72.709806), (7.105194, -72.709806), (7.104972, -72.709667), (7.104972, -72.709667), (7.104972, -72.709667), (7.104972, -72.709667), (7.104972, -72.709667), (7.104972, -72.709667), (7.111306, -72.714167), (7.111306, -72.714167), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111056, -72.714694), (7.111972, -72.71425), (7.113722, -72.715917), (7.113722, -72.715917), (7.111972, -72.71425), (7.111972, -72.71425), (7.113722, -72.715917), (7.113722, -72.715917), (7.113722, -72.715917), (7.113222, -72.716611), (7.113722, -72.715917), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (7.113222, -72.716611), (2.629333, -75.106361), (2.629278, -75.106056), (2.6293, -75.1064), (2.6293, -75.1064), (2.6341, -75.1054), (2.6321, -75.1071), (2.6294, -75.1056), (2.6294, -75.1056), (7.378054, -72.897187), (6.4212, -72.490667), (7.0125, -72.712222), (5.729722, -73.462778), (5.729722, -73.462778), (7.341944, -72.640833), (4.05, -74.35), (4.052417, -74.318722), (4.476297, -73.724224), (7.5, -72.583333), (4.84, -73.92), (3.8811, -72.8667)]"
