nombre_cientifico,coordenadas
Bolitoglossa capitana,"[(4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.89432, -74.44388), (4.89432, -74.44388)]"
Bolitoglossa guaneae,"[(5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (4.54956, -74.308628), (4.596338, -74.309745), (4.476586, -74.360818), (6.16415, -73.18668), (6.16415, -73.18668), (6.16415, -73.18668), (6.016304, -73.162333), (6.117629, -73.148236)]"
