latitude,longitude,elevation,speed,time,distance,elevation_diff,cum_distance,cum_elevation
4.670249428600073,-73.99755176156759,2838.4,10.610534325199014,2024-05-04 06:47:35+00:00,42.21,-4.0,22208.27999999998,149.80000000000018
4.670651005581021,-73.99702948518097,2834.2,10.472337535219683,2024-05-04 06:47:42+00:00,73.1,-4.200000000000273,22281.37999999998,145.5999999999999
4.671140676364303,-73.99689411744475,2830.0,11.33938320416073,2024-05-04 06:47:47+00:00,56.48,-4.199999999999818,22337.85999999998,141.4000000000001
4.6715466119349,-73.9966756850481,2825.8,12.86220166895371,2024-05-04 06:47:51+00:00,51.22,-4.199999999999818,22389.07999999998,137.20000000000027
4.671995295211673,-73.99638315662742,2822.4,9.943826352999542,2024-05-04 06:47:57+00:00,59.5,-3.400000000000091,22448.57999999998,133.80000000000018
4.672636594623327,-73.99617905728519,2816.2,7.515071824671604,2024-05-04 06:48:07+00:00,74.81,-6.200000000000273,22523.38999999998,127.59999999999991
4.673037081956863,-73.99589692242444,2811.8,3.9036732262608367,2024-05-04 06:48:21+00:00,54.41,-4.399999999999636,22577.79999999998,123.20000000000027
4.673560280352831,-73.99585518054664,2808.2,1.9512274635189504,2024-05-04 06:48:51+00:00,58.36,-3.600000000000364,22636.15999999998,119.59999999999991
4.674011562019587,-73.99562166072428,2805.8,9.429164887651334,2024-05-04 06:48:57+00:00,56.46,-2.399999999999636,22692.61999999998,117.20000000000027
4.674451695755124,-73.99529359303415,2806.4,8.719895249138974,2024-05-04 06:49:04+00:00,60.97,0.599999999999909,22753.589999999982,117.80000000000018
4.675161810591817,-73.9950386993587,2809.0,5.999733817197432,2024-05-04 06:49:18+00:00,83.86,2.599999999999909,22837.449999999983,120.40000000000009
4.675500188022852,-73.99463511072099,2811.4,5.856353754885455,2024-05-04 06:49:28+00:00,58.45,2.400000000000091,22895.899999999983,122.80000000000018
4.67581182718277,-73.99422012269497,2813.6,5.244638132964831,2024-05-04 06:49:39+00:00,57.58,2.199999999999818,22953.479999999985,125.0
4.6761938743293285,-73.99415331892669,2814.4,5.397215320896404,2024-05-04 06:49:47+00:00,43.12,0.8000000000001819,22996.599999999984,125.80000000000018
4.676774740219116,-73.99435046128929,2816.0,5.252280801154617,2024-05-04 06:50:00+00:00,68.18,1.599999999999909,23064.779999999984,127.40000000000009
4.6772408578544855,-73.9943253993988,2817.4,5.775698238736744,2024-05-04 06:50:09+00:00,51.9,1.400000000000091,23116.679999999986,128.80000000000018
4.677561717107892,-73.99407729506493,2819.2,4.10274614409683,2024-05-04 06:50:20+00:00,45.04,1.7999999999997272,23161.719999999987,130.5999999999999
4.677758608013392,-73.99359952658415,2821.6,4.100756332178471,2024-05-04 06:50:34+00:00,57.3,2.400000000000091,23219.019999999986,133.0
4.67787872068584,-73.99298773147166,2823.2,4.325047125764914,2024-05-04 06:50:50+00:00,69.1,1.599999999999909,23288.119999999984,134.5999999999999
4.678016938269138,-73.99244349449873,2824.2,4.79383737346044,2024-05-04 06:51:03+00:00,62.24,1.0,23350.359999999986,135.5999999999999
4.6783555671572685,-73.99207075126469,2826.2,4.307178776946578,2024-05-04 06:51:16+00:00,55.9,2.0,23406.259999999987,137.5999999999999
4.678840711712837,-73.99167722091079,2829.8,4.346311903877417,2024-05-04 06:51:32+00:00,69.37,3.600000000000364,23475.629999999986,141.20000000000027
4.679289059713483,-73.99131872691214,2833.4,3.995092013713478,2024-05-04 06:51:48+00:00,63.75,3.599999999999909,23539.379999999986,144.80000000000018
4.679792309179902,-73.99104748852551,2836.4,3.744902806176121,2024-05-04 06:52:05+00:00,63.52,3.0,23602.899999999987,147.80000000000018
4.680324140936136,-73.99081966839731,2839.6,4.028294791418519,2024-05-04 06:52:21+00:00,64.3,3.199999999999818,23667.199999999986,151.0
4.680850524455309,-73.99059687741101,2842.4,3.978659371761237,2024-05-04 06:52:37+00:00,63.53,2.800000000000182,23730.729999999985,153.80000000000018
4.68134849332273,-73.990427730605,2845.0,4.184416465712513,2024-05-04 06:52:51+00:00,58.46,2.599999999999909,23789.189999999984,156.4000000000001
4.682112000882626,-73.99047852493823,2844.8,6.0842954492902095,2024-05-04 06:53:05+00:00,85.08,-0.1999999999998181,23874.269999999986,156.20000000000027
4.682717006653547,-73.99047089740634,2843.4,6.736879924267863,2024-05-04 06:53:15+00:00,67.28,-1.400000000000091,23941.549999999985,154.80000000000018
4.683043397963047,-73.99023779667914,2842.8,7.433675711137515,2024-05-04 06:53:21+00:00,44.55,-0.599999999999909,23986.099999999984,154.20000000000027
4.683391163125634,-73.98982347920537,2843.4,7.512573964022641,2024-05-04 06:53:29+00:00,60.03,0.599999999999909,24046.129999999983,154.80000000000018
4.683725517243147,-73.98971619084477,2843.0,9.76981664490276,2024-05-04 06:53:33+00:00,39.03,-0.40000000000009095,24085.15999999998,154.4000000000001
4.684342173859477,-73.98978970013559,2840.0,11.53229141612956,2024-05-04 06:53:39+00:00,69.05,-3.0,24154.20999999998,151.4000000000001
4.68474886380136,-73.98970931768417,2839.4,11.536615105566176,2024-05-04 06:53:43+00:00,46.09,-0.599999999999909,24200.29999999998,150.80000000000018
4.686088711023331,-73.98898461833596,2840.4,10.590343358006177,2024-05-04 06:53:59+00:00,169.25,1.0,24369.54999999998,151.80000000000018
4.686780804768205,-73.98863157257438,2841.0,9.603440281486463,2024-05-04 06:54:08+00:00,86.33,0.599999999999909,24455.879999999983,152.4000000000001
4.68717441894114,-73.98871128447354,2840.8,8.94019308957736,2024-05-04 06:54:13+00:00,44.65,-0.1999999999998181,24500.529999999984,152.20000000000027
4.687686888501048,-73.98888462223113,2838.2,8.608326687606164,2024-05-04 06:54:20+00:00,60.13,-2.600000000000364,24560.659999999985,149.5999999999999
4.688265910372138,-73.98875176906586,2836.0,11.026140361862645,2024-05-04 06:54:26+00:00,66.05,-2.199999999999818,24626.709999999985,147.4000000000001
4.689526464790106,-73.98830610327423,2839.6,9.301522677750288,2024-05-04 06:54:42+00:00,148.61,3.599999999999909,24775.319999999985,151.0
4.690615274012089,-73.9879278279841,2842.8,8.019118690183307,2024-05-04 06:54:58+00:00,128.12,3.200000000000273,24903.439999999984,154.20000000000027
4.691679524257779,-73.98757151328027,2845.4,7.80752209278628,2024-05-04 06:55:14+00:00,124.75,2.599999999999909,25028.189999999984,156.80000000000018
4.692628271877766,-73.98725878447294,2845.2,7.411162456680534,2024-05-04 06:55:29+00:00,111.04,-0.20000000000027285,25139.229999999985,156.5999999999999
4.693495212122798,-73.98711000569165,2842.2,8.16289476424567,2024-05-04 06:55:41+00:00,97.8,-3.0,25237.029999999984,153.5999999999999
4.694170206785202,-73.98683013394475,2838.0,10.176423029237348,2024-05-04 06:55:49+00:00,81.21,-4.199999999999818,25318.239999999983,149.4000000000001
4.695743741467595,-73.98588515818119,2829.8,12.769242273609027,2024-05-04 06:56:05+00:00,203.92,-8.199999999999818,25522.15999999998,141.20000000000027
