,ID,scientific_name,ESTADO DE AMENAZA,locations
28,10848900,Phaeographis galeanoae,CR,"[(10.763056, -75.14889), (10.739445, -75.02334)]"
29,3418619,Phaeographis leucocheila,CR,"[(5.01667, -74.4667), (5.01667, -74.4667)]"
30,3415868,Platythecium serpentinellum,CR,"[(-3.9667, -79.0667), (-3.9667, -79.0667), (-3.9667, -79.0667), (-3.9667, -79.0667), (-3.9667, -79.0667), (27.6359, 96.5248), (4.0, -72.0)]"
31,2602604,Redingeria glyphica,CR,"[(7.271025, -73.89279), (7.271025, -73.89279), (7.060267, -73.667178), (7.056291, -73.659298), (7.056291, -73.659298), (7.056291, -73.659298), (7.105147, -73.622322), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (6.954181, -73.569768), (6.954181, -73.569768), (6.954181, -73.569768), (6.990322, -73.536816), (7.02377, -73.546615), (7.02377, -73.546615), (7.029978, -73.551423), (7.029978, -73.551423), (7.029978, -73.551423), (7.049786, -73.581802), (7.049786, -73.581802), (7.049786, -73.581802), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.115273, -73.553589), (7.12188, -73.542918), (7.122339, -73.541487), (7.122339, -73.541487), (7.122339, -73.541487), (6.977576, -73.581127), (6.977576, -73.581127), (6.977576, -73.581127), (6.98115, -73.583168), (6.996799, -73.598609), (6.996799, -73.598609), (6.996799, -73.598609), (7.114298, -73.596624), (7.114298, -73.596624), (7.114298, -73.596624), (7.075965, -73.647677), (6.902255, -73.598099), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (7.038414, -73.821468), (6.941173, -73.676657), (6.837297, -73.824317), (6.837297, -73.824317), (6.837297, -73.824317), (6.833257, -73.779682), (6.792357, -73.807968), (6.868437, -73.820953), (6.868437, -73.820953), (6.868437, -73.820953), (6.838107, -73.684243), (6.874816, -73.703313), (6.890168, -73.678817), (6.993702, -73.691843), (6.993702, -73.691843), (6.993702, -73.691843), (7.003096, -73.629734), (6.756638, -73.789073), (6.756638, -73.789073), (6.756638, -73.789073), (6.758551, -73.78236), (6.994934, -73.683851), (6.799953, -73.808474), (6.889285, -73.783059), (6.889285, -73.783059), (6.889411, -73.782398), (6.889411, -73.782398), (6.888407, -73.782435), (6.978345, -73.81836), (6.904299, -73.687528), (7.060072, -73.545687), (7.060072, -73.545687), (7.060072, -73.545687), (7.120183, -73.545409), (7.120183, -73.545409), (6.73089, -73.668574), (6.73089, -73.668574), (6.744766, -73.663895), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (7.023632, -73.792948), (9.4833, -83.4833), (9.460342, -83.559215), (5.0501, -74.54996), (5.00769, -74.47397), (4.0, -72.0), (4.0, -72.0), (5.016667, -74.466667)]"
32,3415915,Thalloloma haemographum,CR,"[(4.59805, -74.07583), (4.63333, -74.0833)]"
33,2601727,Thelotrema conveniens,EN,"[(5.3775, -74.71812), (-33.616667, 151.283333), (18.1545, -66.6198), (6.8167, -75.5), (-22.2306, 166.856), (4.61663, -74.34997)]"
34,166184541,Thelotrema leucocarpoides,CR,[]
35,166184572,Thelotrema sphinctrinellum,CR,[]
36,10784692,Aspidothelium silverstonei,CR,[]
37,2600937,Leptogium inversum,VU,"[(3.9447, -74.1068), (3.9447, -74.1068), (3.9447, -74.1068)]"
38,9808160,Lobariella angustata,VU,"[(4.18775, -72.6445)]"
39,9708115,Lobariella ecorticata,CR,[]
40,9646853,Lobariella flavomedullosa,VU,"[(4.18775, -72.6445)]"
41,9681125,Lobariella parmelioides,EN,"[(4.18775, -72.6445)]"
42,9724173,Lobariella pseudocrenulata,EN,[]
43,9720008,Lobariella reticulata,EN,"[(5.491956, -73.41845), (4.18775, -72.6445)]"
44,5477276,Sticta peltigerella,VU,"[(2.367637, -76.421224), (4.7667, -74.6833), (4.9, -74.3), (4.9, -74.3), (4.9, -74.3), (3.901155, -73.073369), (4.0, -72.0), (4.59805, -74.07583)]"
45,10895412,Sticta rubropruinosa,CR,[]
46,10870093,Sticta silverstonii,CR,[]
47,9819597,Sticta tunjensis,VU,"[(5.800235, -75.692597), (5.797062, -75.70889), (4.18775, -72.6445)]"
48,3411678,Pertusaria confundens,EN,"[(9.7167, -83.85), (9.9833, -83.85), (4.69825, -73.75088), (4.59805, -74.07583), (4.0, -72.0), (4.0, -72.0), (4.588755, -74.065804), (4.588755, -74.065804)]"
49,3411526,Pertusaria thelocarpoides,CR,"[(-3.9667, -79.0667), (-3.9717, -79.0783), (9.5133, -83.7633), (8.555, -71.0833), (5.0167, -74.2167), (4.6333, -74.75), (4.61663, -74.34997)]"
50,3430578,Caloplaca conjungens,CR,[]
51,9714506,Cora accipiter,EN,[]
52,9747529,Cora arachnodavidea,EN,[]
53,9798248,Cora arcabucana,CR,[]
54,9755425,Cora aturucoa,CR,[]
55,9715924,Cora barbifera,CR,[]
56,8226242,Cora byssoidea,CR,"[(4.715602, -73.289429), (4.74895, -73.237613)]"
57,8382898,Cora casanarensis,VU,[]
58,9647299,Cora corelleslia,EN,[]
59,9750769,Cora davibogotana,EN,"[(18.046, -76.5836), (18.0476, -76.5927), (18.0458, -76.5848)]"
60,9791942,Cora davicrinita,VU,[]
61,9765776,Cora davidia,VU,[]
62,8073680,Cora fimbriata,EN,[]
63,9673507,Cora gigantea,EN,[]
64,9719088,Cora hafecesweorthensis,CR,[]
65,7622921,Cora hirsuta,CR,[]
66,8257450,Cora inversa,VU,"[(4.18775, -72.6445)]"
67,9647630,Cora leslactuca,CR,[]
68,9692519,Cora pastorum,CR,[]
69,9809159,Cora pikynasa,CR,[]
70,9684858,Cora putumayensis,CR,[]
71,9735768,Cora quillacinga,EN,[]
72,9731169,Cora rothesiorum,EN,[]
73,7434097,Cora setosa,CR,[]
74,9818434,Cora udebeceana,CR,[]
75,7550471,Cora undulata,CR,[]
76,9686567,Cora verjonensis,CR,[]
77,2555264,Lepidostroma calocerum,EN,"[(-15.826762, -48.457031), (4.566637, -75.75012), (19.502895, -96.952055), (19.536819, -96.922541), (8.785, -82.96), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.785553, -82.958024), (8.9, -82.8), (8.905967, -82.803812), (8.923131, -82.797399), (8.905967, -82.803812), (5.30333, -59.8564), (19.435031, -96.91909), (13.85, -89.9167), (47.7, -113.9), (47.928889, -113.845), (-23.651229, -46.62496), (-23.437605, -46.634681), (-23.651229, -46.62496), (-23.651229, -46.62496), (-0.398449, -65.026795), (-23.651229, -46.62496), (11.141773, -74.004719)]"
78,2555266,Multiclavula coronilla,CR,"[(-34.751667, 116.933611), (50.833333, -118.833333), (-42.891337, 171.550495), (-38.740278, 177.076389), (-38.75, 177.138889), (35.586389, -83.472778), (11.141773, -74.004719), (50.833333, -118.833333)]"
79,10759556,Sulzbacheromyces chocoensis,CR,[]
80,10755851,Sulzbacheromyces tutunendo,CR,"[(-26.323333, -49.307222)]"
