,scientific_name,locations
12,Cephaloziella divaricata,"[(32.933012, -117.146847), (39.766267, -121.779923), (49.331993, -123.263633), (49.331314, -123.261795), (48.455005, -123.481543), (32.917571, -117.247511), (49.741985, -125.12272), (32.917926, -117.247372), (50.096575, -125.243903), (49.867117, -125.151843), (49.867153, -125.151845), (52.896602, 1.107545), (49.740478, -124.963261), (49.580992, -125.220661), (32.726142, -117.031996), (50.199875, -125.18392), (57.047309, -135.313789), (56.38164, 14.46214), (47.818225, 7.820631), (51.320465, 12.252247), (56.87747, 16.64366), (49.130187, 16.549002), (50.102267, -125.42215), (50.102013, -125.422697), (49.187643, -124.001751), (50.09893, -125.233574), (50.129917, -125.13131), (49.125312, -123.96921), (49.270181, 16.620189), (59.75147, 17.52721), (58.072011, 7.083719), (56.956286, 8.387298), (56.95483, 8.393692), (48.435077, -123.449721), (48.43787, -123.450035), (56.955082, 8.392617), (52.35, 4.95), (52.35, 4.95), (56.955339, 8.391412), (47.86552, 2.36762), (56.957061, 8.38497), (56.955714, 8.390233), (56.95658, 8.386282), (56.955056, 8.394295), (56.956261, 8.386993), (56.954975, 8.393693), (56.955519, 8.389352), (56.956628, 8.385342), (56.955666, 8.389943), (56.955089, 8.399396), (56.95537, 8.391147), (56.956407, 8.384935), (56.955015, 8.394567), (56.34874, 13.66303), (56.31643, 13.59963), (59.38801, 13.44801), (60.15763, 16.87722), (49.245829, -122.926481), (47.948297, 7.907795), (48.926562, -125.537655), (48.926586, -125.53775), (49.093353, -125.593086), (32.946809, -117.252274), (49.10228, 3.6707), (52.5, 6.05), (52.0, 5.7), (56.954742, 8.394186), (47.29214, 4.29092), (56.993241, 8.484222), (46.76766, 4.18721), (48.18804, 2.42866), (57.011929, 8.466651), (48.68035, 1.28288), (49.244167, -122.930278), (57.011897, 8.465627), (48.04838, 2.28357), (56.954695, 8.395613), (57.67371, 15.87373), (56.4166, 13.62522), (62.488278, 6.575327), (47.810895, 7.915653), (32.945055, -117.253985), (32.94375, -117.254768), (32.943592, -117.254863), (49.99616, -5.175676), (47.35537, 2.50984), (47.93111, 0.93387), (49.962687, -5.190695), (47.29214, 4.29092), (49.959474, -5.20115), (46.98078, 0.82767), (56.991389, 8.482046), (50.005473, -5.102521), (50.007028, -5.1066), (47.93111, 0.93387), (50.007824, -5.152087), (47.29214, 4.29092), (48.20786, 3.99306), (50.006654, -5.120534), (50.010693, -5.099089), (46.68163, 1.7946), (61.763517, 24.55579), (61.759388, 24.556393), (59.80862, 17.64324), (57.66426, 12.12183), (47.29214, 4.29092), (49.275406, -122.538513), (49.275177, -122.538551), (47.923191, 7.994821), (53.368161, 10.125432), (32.945304, -117.252038), (50.143272, -125.288623), (46.81349, 4.67274), (46.81419, 4.70967), (47.36695, 4.31721), (57.645124, 10.443967), (60.13237, 24.479103), (60.075442, 24.3834), (61.266041, 24.67692), (61.271983, 24.696641), (61.237814, 22.686665), (61.234623, 22.68663), (61.531561, 24.094981), (58.95152, 17.46786), (49.450614, -124.16296), (49.465149, -124.280739), (49.465149, -124.280739), (49.450195, -124.168251), (49.463181, -124.285332), (49.439684, -124.175502), (48.65378, -123.732575), (48.653728, -123.732608), (47.5015, 2.32158), (47.48244, 3.91628), (61.193218, 24.666503), (61.765339, 21.934261), (61.730742, 22.244228), (61.736881, 22.253464), (62.036365, 23.947264), (61.664795, 24.657107), (60.362703, 23.270525), (57.40475, 15.77357), (58.01845, 14.1543), (56.35198, 16.41386), (32.939166, -117.252911), (34.631568, -118.637835), (48.06976, 4.50446), (61.270323, 24.711349), (61.670281, 23.960015), (61.662319, 23.957471), (60.614448, 22.066042), (60.619588, 21.940171), (56.42896, 13.71908), (60.10791, 15.9504), (70.85175, 146.21793), (70.85175, 146.21793), (70.85305, 146.21829), (70.852018, 146.219206), (70.83292, 147.19009), (57.145928, 9.077169), (56.34319, 13.49846), (65.71141, 15.09586), (59.411192, 5.281402), (56.986149, 8.444637), (41.03202, -74.332828), (32.90763, -117.233524), (46.83853, 4.42428), (61.39999, 24.367133), (61.387346, 24.35726), (61.626504, 24.118666), (61.676778, 24.071855), (58.16818, 16.96026), (58.07347, 15.65292), (57.29301, 15.61108), (57.29292, 15.61849), (59.408037, 5.310283), (56.292144, 8.133586), (56.98844, 8.443616), (56.98078, 8.442157), (56.987132, 8.445691), (56.988467, 8.444985), (61.739147, 24.712851), (61.283985, 24.652283), (61.67702, 24.245985), (61.403784, 24.597832), (61.67552, 24.468766), (61.086613, 23.559959), (61.045272, 23.564532), (60.924015, 25.45716), (60.968711, 25.471505), (57.29217, 15.61114), (65.93736, 21.54426), (67.27433, 23.22312), (59.3087, 6.411097), (59.300799, 6.265695), (48.762175, -123.79507), (48.417102, -123.34097), (49.54449, -124.808066), (49.54389, -124.807577), (49.544406, -124.807289), (49.545398, -124.807254), (32.913948, -117.243198), (32.913941, -117.243167), (32.913705, -117.243273), (56.979831, 8.442183), (49.83556, 4.64965), (47.94964, 1.878), (57.677813, 10.454637), (56.972785, 8.43729), (56.979853, 8.442193), (56.994042, 8.452779), (56.973436, 8.439122), (56.979053, 8.442138), (56.977291, 8.442025), (61.266253, 23.9615), (61.38389, 24.579099), (61.235815, 24.300126), (61.455821, 24.161878), (61.469318, 24.243272), (61.512051, 23.996912), (46.7392, 8.91073), (57.16406, 15.49285), (56.37806, 14.52521), (59.08199, 14.68057), (62.74502, 14.43946), (62.22494, 16.10845), (61.66986, 15.17369), (62.16343, 14.99192), (61.86674, 12.56559), (61.0015, 12.56795), (60.27225, 16.21913), (59.38093, 5.165726), (59.44118, 5.095658), (47.96543, 2.10374), (49.59721, -124.984835), (49.597565, -124.984787), (49.597298, -124.984863), (53.297254, -2.213831), (39.766501, -121.778241), (51.5, 5.0), (48.75547, 4.78748), (56.978092, 8.439839), (47.93218, 2.0191), (49.24425, 4.90402), (48.53452, 4.94396), (48.05699, 2.14176), (56.977603, 8.438207), (61.699748, 24.597946), (48.416792, -123.340908), (48.413113, -123.324843), (48.456136, -123.480213), (48.633511, -123.632021), (32.94318, -117.103022), (52.25, 5.1), (53.15, 6.7), (52.15, 5.9), (51.55, 4.75), (52.6, 4.6), (57.712911, 10.546701), (56.901905, 8.36198), (56.976601, 8.453785), (56.976213, 8.449234), (50.97144, 4.81746), (51.22959, 5.2638), (45.92974, 8.88896), (56.21596, 12.55821), (56.34006, 13.66332), (48.439465, -123.296768), (49.187756, -124.001581), (49.06916, -123.949341), (48.417529, -123.556599), (52.25, 6.5), (52.65, 6.4), (52.65, 6.4), (52.35, 5.75), (52.9, 4.75), (56.979567, 8.46282), (53.2425, -3.980271), (47.10908, 4.43322), (37.16808, -121.39474), (53.308867, -3.821233), (56.977374, 8.459628), (47.15829, 4.43763), (48.38458, 6.41496), (47.04046, 4.01569), (48.03255, 6.04432), (37.16808, -121.39474), (58.40724, 12.29669), (56.30697, 13.5624), (56.72219, 14.46189), (57.41255, 15.81278), (56.981406, 8.4808), (48.165068, 12.21881), (48.9681, 3.9598), (48.13245, 6.87533), (48.0876, 6.73862), (47.91903, 5.86532), (40.825861, -124.180264), (48.37495, 6.99654), (48.29769, 7.00791)]"
13,Bazzania denticulifera,"[(5.5, -76.53), (5.5, -76.53)]"
14,Temnoma chaetophyllum,"[(6.0, -72.583333)]"
15,Blepharolejeunea saccata,"[(-1.356667, -78.203611), (-1.356667, -78.203611), (5.8, -63.666667), (5.8, -63.666667), (6.3, -75.15), (13.25, -85.7), (-1.466667, -78.133333)]"
16,Lejeunea inflexiloba,"[(5.7, -75.3), (5.7, -75.3), (5.7, -75.3), (6.7025, -75.49722), (6.7025, -75.49722)]"
17,Riccia weinionis,"[(14.54767, -61.01846), (-11.542, -37.17275), (15.857778, -61.640833), (-20.316667, -40.266667), (-13.441111, -40.264167), (-32.501667, -52.55), (-33.568889, -53.384722), (-31.730833, -52.883333), (-31.730833, -52.883333), (-14.771389, -42.655), (-14.4925, -42.687222), (-13.255, -43.418056), (-12.185278, -43.220556), (-9.897222, -39.897222), (-7.033056, -35.857222), (-16.2225, -41.476944), (-13.8575, -40.083611), (-16.132222, -41.283611), (-16.132222, -41.283611), (-11.564167, -37.784444), (-12.160278, -39.331667), (-11.55, -41.156111), (-11.304167, -41.855833), (-11.181389, -41.512222), (-16.947778, -50.448611), (-16.583889, -39.782778), (-10.539444, -37.416667), (-6.770278, -37.801667), (-6.770278, -37.801667), (-12.430278, -39.251389), (-5.520833, -38.271667), (-12.765556, -39.428333), (-16.132222, -41.283611), (-19.391111, -40.072222), (-9.161944, -40.970833), (-13.255, -43.418056), (11.216667, -74.216667), (-10.075, -38.480833), (14.65485, -61.01929), (-22.951842, -43.212076), (14.65485, -61.01929), (-22.951944, -43.211944), (-22.951944, -43.211944), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (16.19759, -61.53977), (11.225, -74.1364), (11.225, -74.136389), (16.19759, -61.53977), (14.65485, -61.01929), (-22.951842, -43.212076), (16.19761, -61.5398), (-22.48222, -42.9125), (-22.9525, -43.21167), (11.15, -73.883333)]"
18,Alsophila rupestris,"[(7.20306, -72.4222), (7.203056, -72.422222), (8.0, -73.0), (7.96, -72.99)]"
19,Cyathea aemula,"[(-0.828333, -77.536667), (-0.828333, -77.536667), (-0.828333, -77.536667), (-0.828333, -77.536667), (-0.896667, -77.845), (-0.896667, -77.845), (-0.896667, -77.845), (-0.896667, -77.845), (1.2, -76.63333), (1.2, -76.63333), (-1.43333, -78.125), (-1.43333, -78.11666), (-1.43333, -78.125), (-1.43333, -78.125), (-0.898333, -77.843472), (-0.82, -77.64)]"
20,Cyathea antioquensis,"[(5.866667, -75.333333)]"
21,Cyathea boconensis,[]
