,scientific_name,locations
66,Espeletia oswaldiana,"[(5.505722, -72.744611), (5.505722, -72.744611), (5.50637, -72.7552), (5.5, -72.5), (5.506375, -72.755236), (5.5, -72.5), (5.5, -72.5), (5.50951, -72.7593), (5.50951, -72.7593), (5.50951, -72.7593), (5.50951, -72.7593), (5.50951, -72.7593), (5.48453, -72.9346), (5.48453, -72.9346), (5.48453, -72.934624), (5.48453, -72.934624), (5.52616, -72.7429), (5.50637, -72.7552), (5.506375, -72.755236), (5.500833, -76.766944)]"
67,Espeletia paipana,"[(5.853139, -73.142583), (5.853139, -73.142583), (5.853139, -73.142583), (5.853139, -73.142583), (5.855583, -73.147361)]"
68,Espeletia raquirensis,"[(5.406611, -73.613861), (5.406611, -73.613861), (5.406611, -73.613861), (5.406611, -73.613861), (5.406611, -73.613861), (5.401194, -73.570444), (5.404639, -73.600019), (5.404639, -73.600019), (5.41545, -73.60243), (5.41545, -73.60243), (5.41545, -73.60243), (5.409917, -73.609167), (5.409917, -73.609167), (5.409917, -73.609167), (5.409917, -73.609167), (5.409917, -73.609167), (5.409917, -73.609167)]"
69,Espeletia soroca,"[(6.037389, -72.409694), (6.037389, -72.409694), (6.040583, -72.412639), (6.040583, -72.412639), (6.040583, -72.412639), (6.040583, -72.412639), (6.040583, -72.412639)]"
70,Espeletia steyermarkii,"[(7.572131, -72.453307), (7.317022, -72.333347), (7.8333, -72.0833), (7.8333, -72.0833), (7.52418, -72.3862), (7.41689, -72.291), (7.40197, -72.3833)]"
71,Espeletia tibamoensis,"[(5.489363, -73.164899), (5.507581, -73.244392)]"
72,Espeletiopsis betancurii,[]
73,Espeletiopsis caldasii,[]
74,Espeletiopsis diazii,[]
75,Gynoxys hirsutissima,"[(4.280028, -74.189983), (3.8811, -72.8667), (3.8811, -72.8667), (5.0, -74.1667)]"
76,Linochilus chrysotrichus,"[(4.3025, -75.6061), (4.31, -75.61), (4.3025, -75.606102), (4.31, -75.610001), (4.31, -75.61), (4.31, -75.610001)]"
77,Mikania tristachya,[]
78,Pentacalia diamantensis,[]
79,Cordia ramirezii,[]
80,Saurauia oroquensis,[]
81,Cavendishia dendrophila,"[(5.261389, -73.234444), (4.91174, -73.550714)]"
82,Cavendishia jardinensis,"[(5.67, -75.78), (5.56885, -75.78462), (7.0, -75.5), (5.66666, -75.78333), (5.66666, -75.78333), (5.53545, -75.80422), (5.58, -75.87), (5.583333, -75.866667), (5.58333, -75.86666), (5.58333, -75.86666), (5.666667, -75.783333), (5.67, -75.78), (5.67, -75.78), (5.67, -75.78), (5.675, -75.791667), (5.666667, -75.783333), (5.6667, -75.7833), (5.666667, -75.783333), (5.66667, -75.78333), (5.666667, -75.783333), (5.666667, -75.783333), (5.67, -75.78), (5.53289, -75.80703), (-75.783333, -5.666667), (3.44167, -76.62848), (3.90111, -73.07333)]"
83,Cavendishia nuda,"[(5.67, -75.78), (5.56885, -75.78462), (5.516667, -75.8), (5.517, -75.8), (5.52, -75.8), (5.516667, -75.8), (5.56885, -75.78462), (5.53545, -75.80422), (5.53545, -75.80422), (5.67, -75.78), (5.666667, -75.783333), (5.67, -75.78), (5.675, -75.791667), (5.56885, -75.78462), (5.6667, -75.7833), (5.666667, -75.783333), (5.666667, -75.783333), (-75.783333, -5.666667), (2.65832, -76.3575)]"
84,Cavendishia sophoclesioides,[]
85,Orthaea caudata,[]
86,Thibaudia fallax,"[(2.58, -76.32), (2.58333, -76.31666), (3.75, -76.5)]"
87,Cariniana pyriformis,"[(7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (6.373588, -75.573084), (6.232494, -75.561153), (8.608553, -75.846089), (7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (7.641655, -74.899235), (8.834607, -75.79472), (8.834607, -75.79472), (8.833321, -75.794341), (8.833321, -75.794341), (8.833321, -75.794341), (8.84516, -75.820751), (8.841286, -75.814571), (8.841286, -75.814571), (5.987916, -74.944366), (7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (7.14475, -73.566467), (6.29424, -75.46505), (7.348639, -73.7309), (7.348472, -73.73054), (7.348778, -73.73079), (7.345069, -73.758056), (7.176088, -73.576397), (4.45778, -75.21944), (4.27917, -74.90583), (5.868473, -74.174473), (4.361647, -74.480969), (5.185017, -74.196681), (4.45194, -75.2202), (4.27889, -74.91056), (4.28028, -74.90333), (6.26911, -77.37916), (6.310571, -75.55947), (8.756496, -78.234472), (6.739904, -77.44729), (6.736918, -77.446495), (6.708068, -77.497826), (6.710228, -77.487854), (6.712401, -77.486916), (6.702862, -77.49886), (6.708473, -77.487946), (6.706364, -77.49869), (1.61438, -75.606232), (8.514143, -74.383997), (6.870886, -74.296736), (6.692112, -73.631544), (6.692112, -73.631544), (6.692112, -73.631544), (6.692112, -73.631544), (6.692112, -73.631544), (6.692112, -73.631544), (6.671277, -73.650256), (6.671277, -73.650256), (6.671277, -73.650256), (6.671277, -73.650256), (6.671277, -73.650256), (6.671277, -73.650256), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (6.66986, -73.653603), (7.152066, -73.857572), (7.152066, -73.857572), (7.152066, -73.857572), (7.152066, -73.857572), (6.711956, -73.637441), (6.711956, -73.637441), (6.711956, -73.637441), (6.711956, -73.637441), (6.709438, -73.633436), (6.709438, -73.633436), (6.709438, -73.633436), (6.709438, -73.633436), (6.709438, -73.633436), (6.709438, -73.633436), (6.7263, -73.631612), (6.7263, -73.631612), (6.707069, -73.653906), (6.707069, -73.653906), (6.811613, -73.602712), (6.811613, -73.602712), (6.811613, -73.602712), (6.811613, -73.602712), (6.811613, -73.602712), (6.811613, -73.602712), (6.969325, -73.715392), (6.969325, -73.715392), (6.858528, -73.580319), (6.858528, -73.580319), (6.740654, -73.724329), (6.740654, -73.724329), (4.057882, -73.545991), (6.161995, -75.589425), (6.159253, -75.586596), (6.159282, -75.586346), (5.986614, -75.000921), (5.986744, -75.001299), (5.986744, -75.001299), (5.986144, -74.999652), (5.985691, -74.999353), (5.985295, -74.999096), (5.950795, -74.859091), (5.91583, -74.850836), (2.850556, -77.589722), (5.980505, -74.979205), (5.984565, -74.947363), (5.984532, -74.947396), (5.984488, -74.947427), (5.980508, -74.979306), (5.979294, -74.97429), (6.347885, -75.432076), (8.29087, -75.643266), (7.10445, -74.152383), (7.463111, -76.859556), (7.463111, -76.859556), (5.947996, -75.106117), (5.676361, -74.518553), (6.267292, -75.425074), (5.772667, -74.970694), (5.772667, -74.970694), (5.772667, -74.970694), (7.186944, -76.486472), (7.186944, -76.486472), (7.186944, -76.486472), (7.267722, -73.358857), (7.267722, -73.358857), (7.268, -73.359), (6.27, -75.56), (7.65, -74.816667), (8.427028, -75.351222), (8.436333, -75.348333), (8.4275, -75.351694), (8.4275, -75.351694), (8.427194, -75.351055), (6.631083, -74.668277), (6.630917, -74.668472), (6.631111, -74.668527), (6.630778, -74.668777), (6.631028, -74.668694), (6.630778, -74.668777), (6.6167, -74.6667), (5.6347, -75.9229), (5.827417, -74.856667), (5.827417, -74.856667), (7.639167, -73.335806), (6.230028, -76.741694), (6.267645, -75.568952), (8.342339, -77.680319), (8.342339, -77.680319), (8.214944, -76.024556), (6.699083, -76.5605), (8.141136, -76.263061), (5.824061, -74.916044), (6.08032, -74.844306), (8.651667, -77.354444), (5.542222, -74.911944), (1.489044, -75.4049), (7.652, -74.766), (1.332361, -75.810194), (6.016472, -76.779083), (6.21749, -74.838), (6.300982, -74.803489), (5.857734, -74.889909), (6.243476, -74.895292), (5.979487, -74.974617), (6.300982, -74.803489), (6.22, -75.571667), (6.013887, -74.969196), (8.382294, -75.651953), (6.916667, -74.8), (-14.41, -61.14), (3.828056, -76.869444), (9.615278, -72.881944), (9.62, -72.88), (5.9912, -74.828), (6.0, -74.75), (5.89, -74.86), (6.0, -74.75), (6.0, -74.75), (5.89, -74.86), (6.0, -74.75), (-3.92, -70.5), (7.4581, -76.84469), (8.019767, -76.212067), (8.019767, -76.212067), (7.4581, -76.84469), (6.0, -74.0), (6.0, -74.7833), (6.0, -74.783333), (6.038224, -75.003247), (5.95568, -74.8724), (5.955679, -74.87243), (6.038224, -75.003247), (6.038224, -75.003247), (5.95568, -74.8724), (5.955679, -74.87243), (6.038224, -75.003247), (7.4581, -76.84469), (7.65, -76.96), (5.93631, -74.849556), (5.93, -74.84), (5.94547, -74.8473), (5.94547, -74.84733), (5.8013, -74.8784), (6.010853, -74.937644), (9.591667, -72.898611), (9.591667, -72.898611), (9.591667, -72.898611), (6.04267, -74.78518), (6.04267, -74.78518), (5.987867, -74.91518), (6.010853, -74.937644), (6.010853, -74.937644), (6.010853, -74.937644), (9.591667, -72.898611), (9.591667, -72.898611), (9.591667, -72.898611), (6.63903, -73.929565), (6.63, -73.92), (6.63121, -73.92457), (6.618889, -73.914444), (6.56, -73.81), (7.12, -77.53), (7.085941, -77.415814), (6.85, -77.45), (10.5, -61.25), (6.63, -73.92), (6.63, -73.92), (10.07, -72.57), (10.07, -72.57), (7.15, -77.62), (7.0, -77.63), (9.8, -72.8), (9.8, -72.8), (9.00708, -72.898364), (9.030517, -72.890903), (6.23, -77.42), (8.9, -74.07), (11.0, -61.0), (8.401667, -75.372222), (8.449167, -75.314722), (8.403889, -75.380222), (8.459778, -75.338806)]"
88,Ardisia killipii,"[(6.83564, -73.2791), (6.83564, -73.2791)]"
89,Clavija plumbea,"[(3.9077, -75.7022), (3.9077, -75.7022), (3.9077, -75.702202), (3.9077, -75.702202)]"
90,Geissanthus sessiliflorus,[]
91,Myrsine perreticulata,[]
92,Styrax lasiocalyx,"[(5.0, -74.1667)]"
93,Styrax schultzei,"[(11.10125, -74.03955), (11.101181, -74.038989), (11.100979, -74.038875)]"
94,Symplocos pichindensis,"[(3.8811, -72.8667)]"
95,Mandevilla aridana,"[(7.155881, -73.276169), (6.95741, -73.03018), (6.900531, -73.08155), (6.900531, -73.08155), (7.159626, -73.110197), (7.09286, -73.71102)]"
96,Metastelma atrovirens,"[(10.334619, -75.579844), (10.334619, -75.579844), (10.231736, -75.575), (10.231736, -75.575), (10.15, -75.683333), (10.15, -75.683333), (12.139292, -71.339755), (12.149456, -71.333007), (12.138313, -71.340475), (3.8811, -72.8667), (11.240791, -74.19904), (3.901155, -73.073369), (11.242, -74.2055), (11.08666, -73.88035), (11.3197, -74.098), (11.24036, -74.21102)]"
97,Arachnothryx guettardioides,[]
98,Chomelia longiflora,"[(-1.374444, -78.149722), (-1.374444, -78.149722)]"
99,Elaeagia barbata,"[(10.98, -73.97), (10.98, -74.02), (3.75, -76.5)]"
100,Macrocnemum stylocarpum,[]
101,Aphelandra taborensis,[]
102,Aegiphila sylvatica,[]
103,Salvia macrostachya,"[(-0.459047, -78.323142), (-2.901524, -79.010306), (-2.891788, -79.036576), (-0.870181, -78.901913), (-1.940297, -78.729642), (-1.950913, -78.704938), (-2.538722, -78.868775), (-0.454549, -78.331531), (-2.25333, -78.66417), (-2.25, -78.66), (4.642305, -74.091192), (4.66819, -74.10025), (4.66819, -74.10025), (4.642305, -74.091192), (4.642305, -74.091192), (0.89231, -77.72197), (-1.85, -78.566), (-1.85, -78.57), (1.21128, -77.28342), (1.0474, -77.69371), (-0.95, -78.933), (-0.95, -78.933), (-0.95, -78.93), (-0.95, -78.933333), (-0.95, -78.93), (-0.95, -78.93), (-0.95, -78.93), (-0.95, -78.93), (0.0, 0.0)]"
104,Salvia pamplonitana,[]
105,Salvia sordida,"[(4.314618, -74.180754), (4.308024, -74.191096), (4.63882, -74.11196), (4.668095, -74.100059), (4.758612, -74.049062), (4.758612, -74.049062), (4.65017, -74.10735), (4.8048, -74.0413), (4.8048, -74.0413), (4.702089, -74.07565), (4.874722, -74.021944), (3.901155, -73.073369), (4.74806, -73.97361), (8.05889, -72.82361), (8.05889, -72.82361), (8.05889, -72.82361), (8.05889, -72.82361)]"
106,Scutellaria parrae,"[(38.4768, -77.3527), (38.4768, -77.3527), (38.4768, -77.3527), (38.4768, -77.3527), (34.056667, -80.743611), (3.988575, -75.446958)]"
107,Chionanthus abriaquiensis,"[(6.690834, -76.05028), (6.690834, -76.05028), (6.695278, -76.04278), (6.690797, -76.050396)]"
108,Aragoa hammenii,[]
109,Aragoa parviflora,"[(7.337306, -72.7015), (7.846273, -73.226554), (7.866944, -73.186667), (7.938355, -73.197728), (7.938355, -73.197728)]"
110,Aragoa picachensis,"[(7.107768, -72.971201)]"
111,Metteniusa cundinamarcensis,"[(4.512528, -73.444583), (4.515917, -73.440556), (4.515917, -73.440556), (4.512528, -73.444583), (4.515917, -73.440556), (4.512528, -73.444583), (4.895049, -74.421992)]"
112,Metteniusa santanderensis,"[(6.109298, -73.227065), (6.109298, -73.227065), (6.106058, -73.226169), (6.106058, -73.226169), (6.136193, -73.308603), (6.136193, -73.308603), (6.081867, -73.185569), (6.106442, -73.204396), (6.106442, -73.204396)]"
113,Cestrum killipii,[]
114,Phoradendron longissimum,"[(8.33, -74.52), (8.333333, -74.516667)]"
115,Aiphanes graminifolia,"[(6.173731, -73.432361), (6.173731, -73.432361), (6.173731, -73.432361), (6.173731, -73.432361), (6.164033, -73.436528), (6.164033, -73.436528), (6.164033, -73.436528), (6.164033, -73.436528), (6.164033, -73.436528), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17518, -73.42588), (6.17, -73.45), (6.17, -73.45)]"
116,Aiphanes killipii,"[(6.162667, -73.431417), (6.162667, -73.431417), (6.162667, -73.431417), (6.162667, -73.431417), (6.173731, -73.432361), (6.173731, -73.432361), (6.173731, -73.432361), (6.173731, -73.432361), (6.16385, -73.45211), (6.16385, -73.45211), (6.16385, -73.45211), (6.16385, -73.45211), (6.16385, -73.45211), (6.16385, -73.45211), (6.16385, -73.45211), (4.18775, -72.6445), (4.18775, -72.6445)]"
117,Aiphanes leiostachys,"[(6.194139, -75.00575), (6.194167, -75.005833), (6.194139, -75.00575), (6.191389, -75.02), (0.0, 0.0)]"
118,Aiphanes pilaris,"[(1.146241, -76.854903), (1.12, -76.87), (1.116667, -76.866667), (1.116667, -76.866667), (1.116667, -76.866667), (1.116667, -76.866667)]"
119,Reinhardtia gracilis,"[(15.720357, -86.740954), (9.653162, -84.510421), (18.584972, -95.074739), (10.36214, -84.1035), (15.000241, -88.95508), (14.999495, -88.954251), (17.402956, -93.46728), (18.585053, -95.074753), (18.584939, -95.074714), (10.173673, -83.915016), (10.205485, -83.940993), (18.585, -95.074444), (18.436614, -94.965725), (18.437182, -94.965564), (14.876904, -84.522234), (8.032278, -77.212528), (8.032278, -77.212528), (18.437372, -94.965366), (19.97931, -97.38927), (16.189343, -89.148253), (16.11951, -90.9407), (8.233639, -77.195139), (8.232778, -77.232), (8.232778, -77.232), (9.14, -82.5), (9.14, -82.5), (12.29, -85.09), (12.29, -85.09), (15.603887, -85.306064), (15.516667, -87.333333), (10.190139, -83.860028), (10.190139, -83.860028), (10.190139, -83.860028), (40.856767, -73.875413), (10.193917, -83.861278), (10.19434, -83.86086), (10.19434, -83.86086), (10.19434, -83.86086), (10.193444, -83.871694), (14.23, -85.32), (14.1, -85.43), (14.23, -85.32), (14.1, -85.43), (14.23, -85.32), (14.23, -85.32), (14.07, -85.49), (14.1, -85.43), (14.1, -85.43), (14.07, -85.49), (14.1, -85.43), (14.1, -85.43), (14.33, -85.13), (14.33, -85.13), (17.53, -94.028889), (17.53, -94.02889), (17.621389, -92.485), (14.32, -85.1), (14.32, -85.12), (14.32, -85.1), (14.32, -85.1), (14.32, -85.12), (18.574892, -95.075233), (18.583, -95.067), (14.37, -85.09), (14.36, -85.06), (14.36, -85.06), (14.37, -85.09), (14.38, -85.05), (14.38, -85.05), (10.191111, -83.857778), (14.48, -85.08), (14.48, -85.08), (14.41, -85.15), (14.41, -85.15), (14.41, -85.15), (10.452778, -84.658333), (10.452778, -84.658333), (10.452778, -84.658333), (10.452778, -84.658333), (10.45, -84.66), (10.45, -84.66), (13.23, -85.64), (13.23, -85.64), (10.43138, -84.00361), (16.885833, -94.118889), (17.5275, -92.9228), (18.584105, -95.081316), (17.53, -94.028889), (10.1667, -84.0), (10.1667, -84.0), (10.16, -84.0), (10.433333, -84.033333), (17.53, -94.0289), (17.53, -94.02889), (17.53, -94.028889), (17.53, -94.028889), (17.517, -94.02889), (13.52, -85.62), (13.55, -85.733333), (10.402778, -84.05), (10.402778, -84.05), (13.55, -85.73), (13.55, -85.73), (10.43138, -84.00361), (25.7743, -80.1937), (17.53, -94.028889), (17.53, -94.028889), (17.53, -94.028889), (17.53, -94.0289), (16.88667, -94.12083), (16.88667, -94.12083), (9.99, -83.37), (9.9917, -83.3778), (9.991667, -83.377778), (9.991667, -83.377778), (9.991667, -83.377778), (9.991667, -83.377778), (9.991667, -83.377778), (9.99, -83.38), (10.990556, -85.427778), (10.990556, -85.427778), (16.083, -90.417), (16.123611, -90.935278), (12.97, -85.22), (12.97, -85.22), (12.97, -85.22), (10.197778, -83.856667), (10.197778, -83.856667), (18.48472, -95.06472), (18.484722, -95.064722), (18.484722, -95.064722), (18.484722, -95.064722), (12.97, -85.22), (9.45, -83.85), (11.13, -84.35), (9.95, -83.47), (9.952778, -83.473611), (9.952778, -83.473611), (9.952778, -83.473611), (13.78, -84.98), (9.95, -83.47), (17.188611, -94.359167), (17.18861, -94.35917), (17.188611, -94.359167), (10.19, -83.856944), (9.53, -84.03), (13.98, -85.32), (15.7667, -87.4167), (11.07, -83.85), (17.06194, -94.76806), (17.061944, -94.768056), (17.05, -94.76667), (11.08, -84.25), (14.1, -84.52), (14.1, -84.53), (13.8, -84.4), (8.7292, -83.4561), (13.55, -85.77), (17.508333, -92.641667), (14.58, -84.78), (14.58, -84.78), (17.133, -94.467), (17.13, -94.47), (17.13, -94.47), (13.72, -85.02), (13.78, -84.98), (15.63, -88.8), (11.13, -84.63), (17.0775, -94.061111), (17.083333, -94.105), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (17.083333, -94.105), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.408333, -94.925), (18.416667, -95.1), (17.083333, -94.105), (18.475, -94.925), (18.416667, -95.1), (17.073889, -94.587778), (10.43138, -84.00361), (19.4099, -99.1756), (10.28, -84.04), (17.1486, -94.4725), (9.51, -84.02), (10.95, -84.25), (9.88, -83.65), (9.883333, -83.65), (10.172778, -83.908889), (10.17, -83.9), (10.17, -83.9), (16.27, -89.1), (17.575, -93.858333), (16.26666, -89.1), (15.7, -86.85), (18.6, -95.1), (17.9, -92.420833), (9.23472, -78.25), (9.672222, -83.05), (9.67, -83.05), (16.367, -89.167), (16.37, -89.17), (16.37, -89.17), (16.366667, -89.166667), (16.125, -90.925), (10.3, -84.61), (10.3, -84.616667), (10.3, -84.61), (10.3, -84.61), (16.117, -90.917), (16.12, -90.926667), (16.125, -90.925), (10.990556, -85.427778), (16.133889, -90.929722), (15.48333, -87.45), (10.78, -85.26), (18.444444, -94.963333), (18.383333, -94.933333), (10.781944, -85.265833), (18.475, -95.141667), (16.125, -90.925), (0.0, 0.0), (9.6, -82.958333), (9.58, -82.95), (10.35, -84.66), (18.308333, -94.758333), (10.35, -84.666667), (10.35, -84.66), (10.4, -84.05), (10.4, -84.05), (10.405, -84.058333), (10.405, -84.058333), (10.99, -85.42), (10.990556, -85.427778), (10.990556, -85.427778), (10.99, -85.42), (10.405556, -84.055556), (10.40555, -84.05555), (10.99, -85.42), (10.990556, -85.427778), (10.990556, -85.427778), (18.464167, -94.976944), (18.4648485, -94.976949), (18.4648485, -94.976949)]"
120,Reinhardtia koschnyana,"[(6.281786, -75.545053), (7.30577, -76.32193), (7.681398, -76.612016), (14.752982, -84.507889), (6.135556, -75.340833), (6.13551, -75.340575), (6.623837, -76.60462), (14.4, -85.15), (14.4, -85.15), (14.25, -85.17), (14.25, -85.17), (14.41, -85.19), (14.32, -85.1), (14.32, -85.12), (14.41, -85.19), (14.41, -85.19), (13.8, -84.4), (13.55, -85.78), (13.55, -85.77), (8.017, -77.733), (8.02, -77.73), (7.46, -76.84), (7.46, -76.84), (7.45, -76.86), (7.45, -76.86), (8.0, -77.8), (8.0, -77.8), (7.45, -76.83), (7.45, -76.83), (8.017, -77.733), (8.01, -77.73), (8.02, -77.73), (8.02, -77.73), (10.5, -84.45), (7.98, -77.7), (8.02, -77.73), (9.32, -78.92), (7.65333, -76.9603), (7.611055, -76.950968), (10.36, -84.47), (8.917, -78.517), (8.92, -78.52), (7.60635, -76.8545), (7.635244, -76.95222), (11.67, -84.45), (7.45, -78.08), (7.63329, -76.9123), (7.63329, -76.9123), (7.626219, -76.93348), (7.626219, -76.93348), (7.7, -78.12), (7.55, -78.08), (7.82, -77.77), (7.7, -78.12), (7.72, -78.08), (7.59787, -76.8278), (7.59787, -76.8278), (7.590446, -76.815183), (7.590446, -76.815183), (7.42, -78.07), (8.02, -77.72), (7.97, -78.37), (13.17, -84.13), (13.58, -84.32), (7.97, -77.72), (8.0, -77.7), (8.02, -77.73), (7.95, -77.7), (7.73, -77.73), (8.1, -76.73), (7.83, -77.73), (8.01, -77.73), (8.07, -77.73), (7.58683, -76.6341), (7.58683, -76.63407), (11.53, -84.43), (10.71, -84.8), (10.71, -84.8), (10.71, -84.8), (0.0, 0.0)]"
121,Reinhardtia simplex,"[(10.366622, -84.339908), (16.12213, -90.930954), (12.62, -84.81), (12.62, -84.81), (10.746634, -85.131423), (10.878861, -85.391361), (10.88, -85.39), (10.086222, -85.635889), (10.09, -85.64), (10.765722, -85.201833), (10.765722, -85.201833), (10.765722, -85.201833), (10.77, -85.2), (11.44, -84.22), (11.44, -84.22), (8.78508, -78.44789), (8.79, -78.45), (7.778889, -76.670805), (7.778889, -76.6708), (10.89, -85.47), (10.89, -85.47), (10.888, -85.474), (10.888, -85.474), (11.0, -85.47), (11.0, -85.47), (11.0, -85.47), (11.004, -85.473), (11.004, -85.473), (11.004, -85.473), (16.116186, -90.935797), (12.54, -84.75), (12.54, -84.75), (15.044811, -84.926538), (14.33, -85.07), (14.33, -85.07), (14.23, -85.32), (14.23, -85.32), (14.1, -85.43), (14.1, -85.43), (10.441667, -84.619444), (14.1, -85.43), (14.1, -85.43), (14.1, -85.43), (14.1, -85.43), (9.68333, -83.0228), (10.4305, -84.0069), (14.52, -85.07), (14.33, -85.15), (11.1, -84.28), (11.12, -84.35), (11.1, -84.28), (11.12, -84.35), (14.25, -85.17), (14.25, -85.17), (11.08, -84.45), (11.08, -84.45), (14.32, -85.1), (11.12, -84.35), (14.32, -85.1), (11.12, -84.35), (14.36444, -85.06306), (14.36, -85.06), (14.48, -85.08), (14.48, -85.08), (14.4, -85.15), (14.47, -85.15), (14.4, -85.15), (14.47, -85.15), (11.12, -84.35), (11.12, -84.35), (13.23, -85.64), (9.654167, -83.022222), (14.12, -84.73), (14.1, -84.72), (14.1, -84.72), (10.43138, -84.00361), (10.666667, -85.05), (10.666667, -85.05), (10.666667, -85.05), (10.89556, -85.388441), (10.89556, -85.388441), (10.9, -85.39), (10.67, -85.05), (9.99, -83.38), (9.995807, -83.385694), (9.995807, -83.385694), (9.995807, -83.385694), (9.995807, -83.385694), (10.0, -83.39), (9.972222, -83.452778), (9.972222, -83.452778), (9.97, -83.45), (11.12, -84.37), (11.37, -84.02), (9.56, -82.636667), (9.56, -82.636667), (9.56, -82.63666), (10.875, -85.394444), (10.875, -85.394444), (10.875, -85.394444), (11.13, -84.35), (8.394444, -83.330556), (13.98, -85.32), (9.29, -83.77), (10.97, -84.33), (9.63, -82.64), (11.02, -84.2), (9.73, -82.93), (9.731111, -82.932222), (9.731111, -82.932222), (9.731111, -82.932222), (9.575, -82.666667), (11.02, -84.23), (11.02, -84.23), (9.73, -82.93), (11.15, -84.18), (11.08, -84.25), (16.117, -90.933), (16.117, -90.933), (16.125, -90.941667), (16.117, -90.933), (16.125, -90.941667), (11.13, -84.35), (13.55, -85.77), (13.55, -85.77), (14.58, -84.78), (16.125, -90.941667), (16.117, -90.933), (16.117, -90.933), (14.37, -84.62), (9.62, -82.88), (11.02, -84.27), (11.07, -84.37), (10.43, -84.0), (9.727778, -84.399444), (9.72, -84.39), (9.72, -84.39), (9.8, -82.99), (9.802778, -82.997222), (9.8, -82.99), (13.8, -84.97), (11.57, -83.95), (11.5, -84.22), (8.78, -82.95), (8.7856, -82.9581), (9.56, -82.65), (11.22, -84.57), (9.75, -84.53), (9.758333, -84.538889), (9.75, -84.53), (10.366667, -84.533333), (10.36, -84.53), (10.36, -84.53), (10.45, -84.5), (10.45, -84.5), (10.45, -84.5), (10.3, -84.61), (10.3, -84.616667), (10.3, -84.61), (16.125, -90.925), (10.25, -84.51), (10.25, -84.516667), (10.25, -84.51), (8.41, -83.34), (8.403175, -83.339797), (8.42, -83.34), (16.125, -90.925), (16.1167, -90.9167), (11.13, -84.43), (0.0, 0.0), (9.55, -82.883333), (9.62, -82.87), (9.76, -84.53), (10.794444, -85.309722), (9.761111, -84.530556), (9.76, -84.53), (9.67, -83.02), (9.675, -83.022222), (10.45, -83.56), (0.0, 0.0), (10.766667, -85.283333), (10.45, -83.566667), (10.45, -83.56), (10.79, -85.32), (16.316667, -90.75), (11.04, -84.47), (7.779444, -76.672222), (9.33, -79.75), (8.96, -83.46), (8.97, -83.47), (8.97, -83.47), (10.53, -84.48), (10.53, -84.48), (10.28, -84.53), (10.53, -84.48), (10.1, -83.48), (16.12, -90.91), (10.675, -85.075), (10.66, -85.06), (10.68, -85.08), (10.68, -85.08), (16.471667, -90.725), (14.77, -84.75), (10.36, -84.58), (11.03, -84.45), (12.3, -85.4), (12.28, -85.1), (9.63, -82.65), (9.633, -82.65), (9.63, -82.65), (13.74, -84.84), (13.74, -85.06), (10.46, -84.5), (10.46, -84.5), (11.87, -84.45), (11.7, -84.43), (11.57, -84.4), (0.0, 0.0), (10.8, -85.03), (10.8, -85.03), (11.6, -83.85), (11.6, -83.85), (11.62, -83.87), (11.53, -83.8), (11.58, -84.35), (11.77, -84.43), (13.57, -85.17), (13.66, -84.92), (13.57, -85.17), (13.57, -85.17), (13.76, -84.88), (13.63, -85.05), (15.72, -84.83), (13.63, -85.03), (10.43, -84.0), (10.43, -84.0), (11.53, -84.02), (11.6, -84.0), (11.53, -84.08), (11.15, -84.75), (13.85, -85.37), (13.73, -84.97), (8.71, -79.9), (13.03, -85.25), (10.43, -84.0), (8.35, -77.45), (14.25, -84.6), (13.67, -84.4), (13.7, -84.83), (10.5, -83.78), (10.61, -85.28), (10.76, -85.3), (7.97, -78.37), (13.75, -85.0), (13.75, -84.98), (13.75, -84.98), (13.74, -84.96), (13.47, -85.23), (13.97, -84.23), (10.23, -84.53), (10.23, -84.53), (27.9475, -82.4584), (8.68, -79.93), (0.0, 0.0), (8.98, -83.42), (10.8, -85.05), (0.0, 0.0), (9.36, -82.46), (12.17, -84.32)]"
