id,scientific_name,kingdom,phylum,class,order,family,genus,specific_epithet,taxonomic_status,threat_status,coordinates,display_name,town,state_district,country,temperature,humidity
8531823,Allobates ignotus,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,ignotus,Válido,EN,"[(9.423463, -73.252538), (10.045632, -73.059642), (10.391593, -73.183101)]","Chiriguaná, Cesar, RAP Caribe, Colombia",Chiriguaná,,Colombia,18.73,93.66666666666669
2426319,Allobates juanii,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,juanii,Válido,EN,"[(4.305463, -73.562659), (4.71983, -73.228704), (4.719279, -73.228597), (4.717893, -73.226926), (4.679449, -73.275246), (4.676989, -73.275198), (4.675723, -73.27452), (4.678564, -73.275177), (4.679654, -73.275209), (4.679727, -73.275231), (4.679192, -73.275212), (4.678258, -73.275356), (4.677025, -73.275245), (4.677876, -73.275277), (4.677673, -73.2753), (4.674351, -73.273148), (4.703179, -73.316139), (4.702636, -73.316605), (4.701974, -73.32049), (4.620882, -73.305535), (4.620979, -73.305429), (4.621569, -73.305073), (4.594715, -73.308268), (4.569488, -73.36901), (4.569531, -73.369064), (4.569517, -73.36893), (4.569366, -73.369785), (4.6459, -73.329205), (4.647304, -73.331485), (4.642574, -73.323076), (4.644823, -73.32616), (4.648043, -73.321953), (4.650456, -73.32246), (4.64569, -73.328019), (4.660289, -73.331654), (4.665053, -73.32794), (4.663411, -73.336247), (4.151667, -73.655556), (4.151667, -73.655556), (4.702889, -73.302105), (4.751757, -73.265989), (4.752087, -73.265862), (4.752386, -73.265905), (4.752793, -73.265933), (4.753668, -73.266784), (4.741571, -73.263257), (4.741764, -73.263691), (4.741924, -73.263981), (4.741713, -73.264777), (4.740541, -73.238464), (4.740971, -73.238614), (4.741257, -73.238503), (4.741224, -73.238576), (4.741526, -73.2383), (4.742337, -73.237288), (4.742272, -73.237279), (4.742544, -73.23704), (4.743167, -73.23659), (4.742724, -73.236962), (4.741092, -73.238562), (4.734602, -73.245841), (4.733794, -73.246208), (4.733354, -73.246314), (4.733872, -73.248749), (4.735689, -73.246564), (4.734527, -73.246055), (4.734306, -73.246208), (4.523333, -73.425556), (4.524917, -73.427722), (4.524917, -73.427722), (4.524917, -73.427722), (4.524917, -73.427722), (4.148891, -73.729371), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (5.17282, -72.54706), (4.182334, -73.617537), (7.02, -72.07), (4.80816, -73.47699), (4.80816, -73.47699), (4.80816, -73.47699), (4.80816, -73.47699), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.17191, -73.629), (4.00929, -73.78017), (4.85286, -73.14198), (4.29414, -73.59558), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.07424, -73.4915), (4.510053, -73.349816), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.18656, -73.63697), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.18656, -73.63697), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.15661, -73.65556), (4.18656, -73.63697), (4.18656, -73.63697), (4.18656, -73.63697), (4.14514, -73.62686), (4.14514, -73.62686)]","Cumaral, Piedemonte, Meta, RAP (Especial) Central, 501021, Colombia",Cumaral,Piedemonte,Colombia,20.235569620253116,94.5759493670886
11433514,Hyloxalus picachos,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,picachos,Válido,EN,[],,,,,,
2426290,Allobates ranoides,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,ranoides,Válido,CR,"[(4.773, -73.038002), (4.773, -73.038002), (4.77, -73.04), (4.77, -73.04), (4.89432, -74.4438), (4.61667, -74.35), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625), (4.1417, -73.625)]","Transversal del Sisga, Sabanalarga, Casanare, RAP Llanos, Colombia",Sabanalarga,,Colombia,21.46181818181818,93.63636363636364
5216705,Atelopus angelito,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,angelito,Válido,CR,"[(5.08444, -75.29357)]","Volcán Cerro Bravo, Padua - Alto de Letras, Herveo, Nevados, Tolima, RAP (Especial) Central, Colombia",,Nevados,Colombia,0.46,98.0
7785931,Atelopus ardila,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,ardila,Válido,CR,[],,,,,,
5216689,Atelopus arsyecue,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,arsyecue,Válido,CR,"[(10.71689, -73.564406), (10.6383, -73.6383)]","Pueblo Bello, Cesar, RAP Caribe, Colombia",Pueblo Bello,,Colombia,5.955,88.0
5216638,Atelopus carrikeri,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,carrikeri,Válido,EN,"[(10.931444, -73.926965), (10.820416, -73.90848), (10.90192, -73.996801), (10.837055, -73.816325), (10.912778, -73.966244), (10.868971, -73.940017), (10.723391, -74.0196), (10.90546, -73.881531), (10.974649, -73.816584), (10.906929, -73.963184), (10.838738, -73.852584), (10.958395, -73.996869), (10.872857, -74.017976), (10.949134, -73.800599), (10.9114, -73.9191), (10.9075, -73.9263), (10.9075, -73.9263), (10.9075, -73.9263), (10.8236, -73.7222), (10.8236, -73.7222), (10.8236, -73.7222), (10.6383, -73.6383), (10.934, -73.8798), (10.934, -73.8798), (10.934, -73.8798), (10.934, -73.8798), (10.934, -73.8798), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.906, -74.0464), (10.9, -73.85), (10.9, -73.85), (10.9, -73.85), (10.9, -73.85), (10.88993, -73.93839), (10.88993, -73.93839), (10.88, -73.45), (10.88, -73.45), (10.716667, -73.65), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (10.933333, -73.616667), (11.23034, -73.68502), (10.6383, -73.6383), (10.9075, -73.9263), (10.9075, -73.9263), (10.9075, -73.9263), (10.566667, -73.616667)]","Ciénaga, Magdalena, RAP Caribe, Colombia",Ciénaga,,Colombia,11.958360655737703,87.39344262295081
5216697,Atelopus chocoensis,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,chocoensis,Válido,CR,"[(4.75134, -76.29539), (4.7548, -76.26852)]","El Cairo, Norte, Valle del Cauca, RAP Pacífico, Colombia",,Norte,Colombia,12.775,99.5
5216644,Atelopus ebenoides,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,ebenoides,Válido,CR,"[(5.5, -73.333333), (5.6879, -72.8097), (5.52324, -73.0752), (5.52324, -73.0752), (5.52324, -73.0752), (5.5086, -72.7603), (5.56541, -72.8044), (5.48228, -73.0884), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.66667, -73.0), (5.48228, -73.0884)]","Calle 3, Soracá, Centro, Boyacá, RAP (Especial) Central, 057117, Colombia",Soracá,Centro,Colombia,9.743157894736845,93.94736842105264
5216632,Atelopus elegans,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,elegans,Válido,EN,[],,,,,,
5216618,Atelopus eusebianus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,eusebianus,Válido,CR,[],,,,,,
5216685,Atelopus famelicus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,famelicus,Válido,CR,[],,,,,,
5216673,Atelopus farci,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,farci,Válido,CR,"[(4.90477, -74.4294), (4.90477, -74.4294), (4.90477, -74.4294), (4.90477, -74.4294), (4.89432, -74.4438), (4.89432, -74.4438)]","Vía Albán - Sasaima, Vda San Bernardo, Albán, Sasaima, Gualivá, RAP (Especial) Central, Colombia",Albán,Gualivá,Colombia,16.926666666666666,95.66666666666669
8304240,Atelopus gigas,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,gigas,Válido,CR,[],,,,,,
5216611,Atelopus glyphus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,glyphus,Válido,CR,"[(7.840629, -77.624867), (7.876726, -77.6031), (8.157134, -77.628513), (7.810128, -77.885401), (7.865496, -77.680432), (7.868752, -77.654415), (8.184077, -77.798356), (7.998, -77.711), (7.942, -77.703), (7.989, -77.707), (7.707723, -77.629664), (7.974803, -77.69399), (8.159338, -77.742295), (7.901239, -77.693962), (7.931752, -77.662616), (7.624797, -77.701524), (8.059523, -77.799282), (7.706615, -77.67025), (7.655785, -77.781456), (7.774, -77.733), (7.774, -77.733), (7.762, -77.724), (7.77, -77.73), (7.76, -77.72), (7.77, -77.73), (7.601887, -77.615155), (8.05295, -77.7539), (7.998, -77.711), (7.76223, -77.7241), (7.76223, -77.7241), (7.76227, -77.7241), (7.76697, -77.7261), (7.76697, -77.7261), (7.77111, -77.7307), (7.99331, -77.7102), (8.01949, -77.7323), (7.99, -77.71), (8.02, -77.73), (7.77, -77.73), (7.77, -77.73), (7.76, -77.72), (7.76, -77.72), (7.77, -77.73), (7.76, -77.72)]","Boca de Cupe, Distrito Pinogana, Darién, Panamá",,,Panamá,19.29113636363637,98.0
